manufacturer;model_name;detail_name;hsn;tsn;displacement;power;year_from;year_to;engine_type;target_bucket
Seat;Exeo;3R (EXEO 2.0 TDI);7593;ADR;1968;105;2008;2014;Diesel;2
Seat;Ibiza;6J (IBIZA ST 1.2 TDI);7593;AFA;1199;55;2010;2017;Diesel;2
Seat;Ibiza;6J (IBIZA 1.2 TDI);7593;AEZ;1199;55;2010;2017;Diesel;2
Seat;Ibiza;6J (IBIZA ST 1.6 TDI);7593;AEV;1598;66;2010;2017;Diesel;2
Seat;Ibiza;6J (IBIZA 1.6 TDI);7593;AEG;1598;66;2009;2017;Diesel;2
Seat;Ibiza;6J (IBIZA ST 1.6 TDI);7593;AEW;1598;77;2010;2017;Diesel;2
Seat;Ibiza;6J (IBIZA 1.6 TDI);7593;AEH;1598;77;2009;2017;Diesel;2
Seat;Ibiza;6J (IBIZA FR 2.0 TDI);7593;AER;1968;105;2010;2017;Diesel;2
Seat;Leon;1P (LEON 1.6 TDI);7593;AGB;1598;66;2010;2013;Diesel;2
Seat;Leon;1P (LEON 1.6 TDI);7593;AES;1598;77;2010;2013;Diesel;2
Seat;Altea;5P (ALTEA/ALTEA FREETRACK / TOLEDO 2.0 TDI);7593;ADK;1968;103;2008;2015;Diesel;2
Seat;Altea;5P (ALTEA/ALTEA FREETRACK / TOLEDO 2.0 TDI);7593;AAD;1968;103;2005;2015;Diesel;2
Seat;Altea;5P (ALTEA XL 2.0 TDI);7593;AHZ;1968;103;2013;2015;Diesel;2
Seat;Altea;5P (ALTEA XL / 4 FREETRACK 2.0 TDI);7593;AIA;1968;103;2013;2015;Diesel;2
Seat;Altea;5P (ALTEA 4 FREETRACK 4X4 2.0 TDI);7593;ADE;1968;125;2007;2015;Diesel;2
Skoda;Roomster;5J (ROOMSTER 1.2 TDI);8004;AJU;1199;55;2010;2015;Diesel;2
Seat;Altea;5P (ALTEA/TOLEDO 2.0 TDI);7593;ACO;1968;125;2006;2015;Diesel;2
Seat;Altea;5P (ALTEA 4 FREETRACK 2.0 TDI);7593;AIG;1968;125;2013;2015;Diesel;2
Skoda;Fabia;5J (FABIA COMBI 1.2 TDI);8004;AJR;1199;55;2010;2015;Diesel;2
Skoda;Fabia;5J (FABIA 1.2 TDI);8004;AJQ;1199;55;2010;2014;Diesel;2
Skoda;Fabia;5J (FABIA COMBI 1.6 TDI);8004;AKG;1598;55;2010;2015;Diesel;2
Skoda;Fabia;5J (FABIA 1.6 TDI);8004;AKF;1598;55;2010;2014;Diesel;2
Skoda;Fabia;5J (FABIA COMBI 1.6 TDI);8004;AJT;1598;66;2010;2015;Diesel;2
Skoda;Fabia;5J (FABIA 1.6 TDI);8004;AJS;1598;66;2010;2014;Diesel;2
Skoda;Fabia;5J (FABIA COMBI 1.6 TDI);8004;AKD;1598;77;2010;2015;Diesel;2
Skoda;Fabia;5J (FABIA 1.6 TDI);8004;AKC;1598;77;2010;2014;Diesel;2
Skoda;Octavia;1Z (OCTAVIA COMBI 1.6 TDI 4X4);8004;AJC;1598;77;2010;2013;Diesel;2
Skoda;Octavia;1Z (OCTAVIA COMBI 1.6 TDI 4X4);8004;AJB;1598;77;2010;2013;Diesel;2
Skoda;Octavia;1Z (OCTAVIA COMBI 1.6 TDI);8004;AHG;1598;77;2009;2013;Diesel;2
Skoda;Octavia;1Z (OCTAVIA COMBI 1.6 TDI);8004;AHF;1598;77;2009;2013;Diesel;2
Skoda;Octavia;1Z (OCTAVIA 1.6 TDI);8004;AHE;1598;77;2009;2013;Diesel;2
Skoda;Octavia;1Z (OCTAVIA COMBI 2.0 TDI 4X4);8004;AML;1968;81;2011;2013;Diesel;2
